1440 52 ST NE,51.041518,-113.95834
16 AV SE & 36 ST SE,51.03937,-113.97719
303 QUEENSLAND RD SE,50.932195,-114.024364
16 AV SE & 44 ST SE,51.03937,-113.97719
RIVERBEND DR SE & RIVERBEND GA SE,50.97557,-114.02391
80 LAS AMERICAS VI NE,51.045219,-114.063011
400 16 AV NE,51.06696,-114.0699
JOHN LAURIE BV NW & RANCHERO DR NW,51.11159,-114.14636
88 CANADA OLYMPIC RD SW,51.076219,-114.211666
19 AV SE & 8 ST SE,51.03609,-113.98946
43 LAKE LINNET CL SE,50.94774,-114.05242
HOME RD NW & 22 AV NW,51.07425,-114.16444
97 PENWORTH CL SE,51.051031,-113.954072
BANNISTER RD SE & 153 AV SE,50.91912,-114.06857
300 2 AV SW,51.05137,-114.06752
CENTRE ST,51.05239,-114.06256
MACLEOD TR S & 45 AV SW,50.97953,-114.07147
MACLEOD TR S & 5 AV SW,50.97953,-114.07147
1800 11 AV SW,51.04344,-114.10169
BOWNESS RD NW & 46 ST NW,51.06909,-114.15579
1410 4 ST SW,51.039634,-114.0715
55 ST SE & 8 AV SE,51.00509,-113.95107
101 ST SW & 17 AV SW,51.03785,-114.23421
1711 LAKE BONAVISTA DR SE,50.93474,-114.0416
4 AV SW & 9 ST SW,51.04992,-114.08351
SUN VALLEY BV SE & SUNMILLS DR SE,51.045219,-114.063011
312 OLYMPIA CR SE,50.98032,-114.003919
16 AV NE & 19 ST NE,51.06689,-114.01353
CASTLEGLEN RD NE & CASTLERIDGE DR NE,51.10521,-113.95386
HORTON RD SW & SOUTHLAND DR SW,50.96771,-114.07483
523 WOODPARK BV SW,50.948463,-114.108036
2 ST NE & 33 AV NE,51.07606,-114.0575
2825 14 ST SW,51.029294,-114.0947
824 13 AV SW,51.040912,-114.07974
2 AV SW & 3 ST SW,51.05168,-114.07834
HIDDEN RANCH BV NW & HIDDEN VALLEY DR NW,51.14589,-114.11565
MEMORIAL DR NE & 10A ST NW,51.04775,-114.03216
CRESTWOOD RD SE & 69 AV SE,50.99424,-114.00783
RANCHVIEW DR NW & RANCHVIEW ME NW,51.12006,-114.1785
CROWCHILD TR SW & 17 AV SW,51.00815,-114.11787
10 AV SE & 24 ST SE,51.04378,-113.99807
1224 14 AV SW,51.040267,-114.089634
3869 30 AV SE,51.026887,-113.979502
19 ST NW & 6 AV NW,51.06874,-114.10631
32 AV NW & 49 ST NW,51.08155,-114.13423
530 8 AV SW,51.045811,-114.072234
HERITAGE MEADOWS RD SE & HERITAGE MEADOWS WY,50.98321,-114.0343
On BERGEN RD NW between BERMUDA DR NW & CENTR,51.045219,-114.063011
1 ST SE & 12 AV SE,51.01666,-114.06111
MARLBOROUGH WY NE & MEMORIAL DR E,51.05956,-113.97245
46 ABERDARE RD NE,51.05491,-113.92467
3208 14 ST SW,51.025022,-114.094669
ELBOW DR SW & 89 AV SW,50.98219,-114.08315
On 16 ST SW between 15 AV SW & 16 AV SW,51.045219,-114.063011
DEERFOOT TR SE & MCKENZIE LAKE BV SE,51.02231,-114.00158
MADIGAN DR NE & 16 AV NE,51.06326,-113.94566
CROWCHILD TR NW & CROWFOOT RI NW,51.09214,-114.1399
20 ST SW & 48 AV SW,51.01599,-114.10921
2 ST NW & 20 AV NW,51.07425,-114.06749
CENTRE ST S & 8 AV SE,51.03699,-114.06364
29 ST NW & 6 AV NW,51.06247,-114.13106
15 AV SW & 9 ST SW,51.03874,-114.11664
CROWFOOT CI NW & CROWFOOT WY NW,51.12433,-114.20254
SADDLEHORN CR NE & SADDLEHORN DR NE,51.12926,-113.94962
3908 16 ST SW,51.020018,-114.101999
2 AV SE & 28 ST SE,51.04901,-113.99535
17 AV SW & 7 ST SW,51.03783,-114.12666
4 ST SE & 83 AV SE,51.04615,-114.05311
SOUTHLAND DR SW & 19 ST SW,50.96149,-114.09885
5 ST SW & 6 AV SW,51.01145,-114.07638
FAIRMOUNT DR SE & 92 AV SE,50.97228,-114.05919
BOWNESS RD NW & 50 ST NW,51.06909,-114.15579
1234 14 AV SW,51.040274,-114.089886
19 ST SW & 34 AV SW,51.01062,-114.10626
CENTRE ST S & GLENMORE TR SE,51.03699,-114.06364
18 AV SW & 5 ST SW,51.03691,-114.07932
17 AV SW & 6 ST SW,51.03783,-114.12666
2232 33 AV SW,51.023993,-114.112285
JOHN LAURIE BV NW & NOSE HILL DR NW,51.11159,-114.14636
9925 FAIRMOUNT DR SE,50.963414,-114.058635
4135 MARBANK DR NE,51.063476,-113.973964
12 ST SW & 17 AV SW,51.02013,-114.09093
100 APPLEWOOD DR SE,51.041959,-113.929846
OLYMPIC WY SE & 14 AV SE,51.03922,-114.05363
1100 KENSINGTON RD NW,51.05252,-114.08595
47 AV NW & 85 ST NW,51.09498,-114.20806
WOODSTOCK RD SW & WOODSTOCK WY SW,50.94491,-114.109
FALCONRIDGE BV NE & FALSHIRE DR NE,51.10661,-113.9498
PENWORTH RD SE & 60 ST SE,51.05164,-113.94771
14 ST SW & 26 AV SW,51.00874,-114.09631
ELBOW DR SW & 75 AV SW,50.98219,-114.08315
1 ST SW & 9 AV SW,51.02625,-114.06703
EDMONTON TR NE & 20 AV NE,51.07152,-114.05621
BEDDINGTON BV NE & CENTRE ST N,51.1367,-114.07705
RICHMOND RD SW & 25 ST SW,51.02113,-114.14538
25 AV SW & 5 ST SW,51.03144,-114.10708
RIVERFRONT AV SE & 4 AV SE,51.05057,-114.05736
1188 FALCONRIDGE DR NE,51.098641,-113.951335
252 PRESTWICK AV SE,50.922189,-113.959072
SIERRA MORENA BV SW & SIERRA MORENA ME SW,51.01662,-114.17944
6603 TEMPLE DR NE,51.085933,-113.939606
4307 130 AV SE,50.931919,-113.970027
116 MACEWAN PARK RD NW,51.136896,-114.110476
19 AV SW & 2 ST SW,51.03626,-114.11931
HAWKWOOD HL NW & JOHN LAURIE BV NW,51.12578,-114.17893
On 17 AV SW between 8 ST SW & 9 ST SW,51.045219,-114.063011
2 ST SW & 9 AV SW,51.03431,-114.06879
22 ST SW & 33 AV SW,51.02401,-114.11439
4122 BRENTWOOD RD NW,51.086102,-114.129046
940 RUNDLESIDE DR NE,51.080497,-113.965044
TEMPLE DR NE & 64 ST NE,51.09239,-113.9489
5 ST SW & 67 AV SW,51.01145,-114.07638
CENTRE ST N & 26 AV NE,51.10823,-114.06248
11 AV SW & 5 ST SW,51.04332,-114.09677
RANCHRIDGE RD NW & RANCHVIEW DR NW,51.12121,-114.18163
3130 66 AV SW,50.994513,-114.128611
MCKENZIE DR SE & MCKERRELL CR SE,50.90206,-113.98424
SHEPARD RD SE & 84 AV SE,50.97615,-113.9942
16 ST SW & 23 AV SW,51.02676,-114.09956
1 ST SW & 14 AV SW,51.02625,-114.06703
150 MILLRISE BV SW,50.915329,-114.091401
WOODBROOK CL SW & WOODBROOK WY SW,51.045219,-114.063011
MEREDITH RD NE & 4 ST NE,51.05183,-114.05406
900 17 AV SW,51.03781,-114.08177
14 ST SW & 16 AV SW,51.00874,-114.09631
2600 4 ST SW,51.07518,-114.05258
ELBOW DR SW & 58 AV SW,50.98219,-114.08315
1808 19 ST NE,51.067842,-114.01336
5005 DALHOUSIE DR NW,51.10673,-114.15942
14 AV SE & 35 ST SE,51.04092,-113.9847
1 ST NW & 12 AV NW,51.07425,-114.06506
BOWNESS RD NW & 66 ST NW,51.06909,-114.15579
CASTLERIDGE BV NE & 64 AV NE,51.10799,-113.95936
15 AV SW & 15 ST SW,51.03874,-114.11664
162 AV SW & 6 ST SW,50.90582,-114.10256
164 MIDLAKE BV SE,50.912189,-114.048557
4 ST SE & 5 AV SE,51.04615,-114.05311
1 ST NW & 20 AV NW,51.07425,-114.06506
5307 MACLEOD TR S,51.00412,-114.07063
1 ST SE & 4 AV SE,51.01666,-114.06111
RANCHLANDS BV NW & RANCHLANDS WY NW,51.11951,-114.19322
5412 FALSBRIDGE DR NE,51.097485,-113.95676
DEER PL SE & DEER RUN BV SE,50.93105,-114.01044
196 HARVEST CREEK CL NE,51.143198,-114.047408
3424 48 ST NE,51.08282,-113.963837
7744 18 ST SE,50.983256,-114.015798
3 ST SE & 58 AV SE,51.03099,-114.05694
44 HUNTFORD CL NE,51.114283,-114.064898
WOLFE ST SW & 14 ST SW,51.02932,-114.09311
On MACLEOD TR S between SOUTHLAND DR SW & 94,51.045219,-114.063011
32 AV NE & 34 ST NE,51.08144,-113.99825
23 ST NW & 3 AV NW,51.06337,-114.11645
WHITEHAVEN RD NE & WHITWORTH PL NE,51.09475,-113.97729
17 AV SW & 24A ST SW,51.03783,-114.12666
2 ST NE & 40 AV NE,51.07606,-114.0575
3013 30 AV SE,51.026919,-113.990803
FAIRMOUNT DR SE & SOUTHLAND DR SE,50.97228,-114.05919
RICHMOND RD SW & 37 ST SW,51.02113,-114.14538
RIVERVALLEY DR SE & 18 ST SE,50.97279,-114.01589
SUN HARBOUR RD SE & SUN VALLEY BV SE,50.90072,-114.02609
MEMORIAL DR E & 59 ST NE,51.05279,-113.96998
12 AV NE & 68 ST NE,51.06335,-114.02138
40 RADCLIFFE CR SE,51.04969,-113.98666
16 AV NW & 2 ST NW,51.06712,-114.12018
343 14 AV SW,51.039666,-114.069018
4531 7 AV SE,51.046881,-113.969346
2 ST NE & 32 AV NE,51.07606,-114.0575
HARVEST WOOD LI NE & HARVEST WOOD WY NE,51.14307,-114.06419
5 AV SW & 7 ST SW,51.04898,-114.08355
4 ST SW & 50 AV SW,51.02826,-114.07151
5225 VARSITY DR NW,51.093556,-114.160771
FAIRMOUNT DR SE & 90 AV SE,50.97228,-114.05919
1817 17A ST SW,51.03769,-114.101514
15 AV SW & 4 ST SW,51.03874,-114.11664
14 MARTINVALLEY WY NE,51.122437,-113.954935
900 44 ST SE,51.04516,-113.96997
61 1101 84 ST NE,51.06201,-113.91189
7108 5 ST NW,51.11586,-114.072695
10 ST SW & 5 AV SW,51.02689,-114.08797
200 RIVERFRONT AV SE,51.05116,-114.0601
144 SCRIPPS LD NW,51.120967,-114.219914
SIMONS CR NW & 4 ST NW,51.10453,-114.07299
HERITAGE DR SE & HERITAGE MEADOWS RD SE,50.98268,-114.04846
BENTON DR NW & BRENNER DR NW,51.10292,-114.13738
3500 VARSITY DR NW,51.08843,-114.13641
979 LAKE PLACID DR SE,50.932011,-114.051085
6 ST SW & 8 AV SW,50.99144,-114.07889
RIVERBEND DR SE & RIVERVALLEY CR SE,50.97557,-114.02391
CITADEL DR NW & CITADEL GA NW,51.14463,-114.17314
BRIDLEWOOD LN SW & BRIDLEWOOD VW SW,50.89612,-114.10097
6300 CENTER ST N,51.10807,-114.06249
BOWNESS RD NW & 83 ST NW,51.06909,-114.15579
600 CANTRELL DR SW,50.940958,-114.071284
ERIN WOODS DR SE & 52 AV SE,51.02175,-113.9686
LAYZELL RD SW & 58 AV SW,51.00196,-114.11772
1935 32 AV NE,51.081422,-114.013653
MEMORIAL DR E & 52 ST NE,51.05279,-113.96998
18 AV NW & 5 ST NW,51.06867,-114.09718
42 ST SE & 9 AV SE,50.99563,-113.97337
MIDLAKE BV SE & MIDRIDGE RD SE,50.91496,-114.06104
176 WHITEFIELD DR NE,51.088376,-113.978694
